Gate_index;Calc-Gated_Sample-X;Calc-Gated_Sample-Z;Calc-Gated_Sample-Rz;Calc-Gated_Sample-Rx;Calc-Gated_Sample-Rs;Calc-Gated_FZPCS-X;Calc-Gated_FZPCS-Z;Calc-Gated_FZPCS-Rx;Calc-Gated_FZPCS-Rz;Raw-Gated_Sample-Xe;Raw-Gated_Sample-Xi;Raw-Gated_Sample-Ze;Raw-Gated_Sample-Zi;Raw-Gated_Sample-Zo;Raw-Gated_FZPCS-Xe;Raw-Gated_FZPCS-Xi;Raw-Gated_FZPCS-Ze;Raw-Gated_FZPCS-Zi;std(Raw-Gated_Sample-Xe);std(Raw-Gated_Sample-Xi);std(Raw-Gated_Sample-Ze);std(Raw-Gated_Sample-Zi);std(Raw-Gated_Sample-Zo);std(Raw-Gated_FZPCS-Xe);std(Raw-Gated_FZPCS-Xi);std(Raw-Gated_FZPCS-Ze);std(Raw-Gated_FZPCS-Zi);
62.000000;3.488768e-01;-3.417415e+00;1.187694e-04;1.833586e+01;-7.460387e-09;-6.096094e-05;4.870449e-04;-2.550334e-04;-5.790327e-05;-3.488923e-01;-3.488612e-01;-4.319616e+04;1.553778e+00;2.214181e+04;6.803704e-05;5.388889e-05;5.182037e-04;4.558889e-04;nan;5.603806e-05;1.068234e+01;3.085789e-04;nan;4.400945e-06;3.899971e-06;2.689456e-06;2.650887e-06;
63.000000;3.486725e-01;-3.419003e+00;1.620993e-04;1.833040e+01;-7.460387e-09;-6.053320e-05;4.870254e-04;-2.533708e-04;-5.513760e-05;-3.486937e-01;-3.486512e-01;-4.319616e+04;1.550603e+00;2.214182e+04;6.727273e-05;5.380000e-05;5.179818e-04;4.560727e-04;nan;4.884094e-05;1.068234e+01;1.200629e-04;4.219838e+00;3.763218e-06;3.337944e-06;3.596760e-06;3.427697e-06;
64.000000;3.494613e-01;-3.420515e+00;1.749909e-04;1.832519e+01;-7.460387e-09;-6.073828e-05;4.874609e-04;-2.549534e-04;-5.320322e-05;-3.494842e-01;-3.494383e-01;-4.319616e+04;1.547577e+00;2.214182e+04;6.724074e-05;5.424074e-05;5.186111e-04;4.563148e-04;7.474106e-05;4.944954e-05;1.068234e+01;2.724715e-04;nan;3.641069e-06;3.156025e-06;2.406983e-06;2.392312e-06;
65.000000;3.510879e-01;-3.421880e+00;1.733197e-04;1.832049e+01;-7.460387e-09;-6.025195e-05;4.876797e-04;-2.555929e-04;-5.283553e-05;-3.511106e-01;-3.510652e-01;-4.319616e+04;1.544847e+00;2.214182e+04;6.670909e-05;5.380000e-05;5.189091e-04;4.564546e-04;nan;nan;1.068234e+01;4.277843e-04;1.716630e+00;4.025697e-06;3.466219e-06;2.654304e-06;2.518858e-06;
66.000000;3.533113e-01;-3.423011e+00;1.351225e-04;1.831660e+01;-7.460387e-09;-6.095117e-05;4.877090e-04;-2.553211e-04;-5.548930e-05;-3.533290e-01;-3.532936e-01;-4.319616e+04;1.542586e+00;2.214182e+04;6.773077e-05;5.417308e-05;5.189039e-04;4.565192e-04;6.118006e-05;nan;1.068234e+01;nan;nan;4.735828e-06;4.017866e-06;2.584634e-06;2.327010e-06;
67.000000;3.559651e-01;-3.423855e+00;4.165881e-05;1.831369e+01;-7.460387e-09;-6.048828e-05;4.874805e-04;-2.550493e-04;-5.560121e-05;-3.559706e-01;-3.559597e-01;-4.319616e+04;1.540897e+00;2.214182e+04;6.728302e-05;5.369811e-05;5.186415e-04;4.563207e-04;nan;nan;1.068234e+01;nan;nan;4.076491e-06;3.478171e-06;2.724335e-06;2.504616e-06;
68.000000;3.589382e-01;-3.424351e+00;9.907395e-06;1.831199e+01;-7.460387e-09;-6.011133e-05;4.875918e-04;-2.545857e-04;-5.638455e-05;-3.589395e-01;-3.589369e-01;-4.319616e+04;1.539907e+00;2.214182e+04;6.700000e-05;5.322641e-05;5.186981e-04;4.564906e-04;nan;nan;1.068234e+01;1.468868e-04;4.219838e+00;6.401637e-06;5.329330e-06;2.347379e-06;2.368425e-06;
69.000000;3.620644e-01;-3.424434e+00;7.376832e-05;1.831170e+01;-7.460387e-09;-6.030078e-05;4.873555e-04;-2.528112e-04;-5.544134e-05;-3.620741e-01;-3.620547e-01;-4.319616e+04;1.539741e+00;2.214182e+04;6.707547e-05;5.352830e-05;5.182453e-04;4.564717e-04;7.767075e-05;nan;1.068234e+01;2.496042e-04;4.219838e+00;4.624998e-06;3.907440e-06;2.242203e-06;1.924262e-06;
70.000000;3.651579e-01;-3.424134e+00;1.430007e-04;1.831273e+01;-7.460387e-09;-6.038281e-05;4.874219e-04;-2.537385e-04;-5.556923e-05;-3.651766e-01;-3.651392e-01;-4.319616e+04;1.540341e+00;2.214439e+04;6.717308e-05;5.359615e-05;5.184231e-04;4.564231e-04;6.531163e-05;2.382939e-05;1.068234e+01;7.423611e-05;nan;4.245853e-06;3.487661e-06;2.448232e-06;2.232838e-06;
71.000000;3.679896e-01;-3.423471e+00;1.219923e-04;1.831502e+01;-7.460387e-09;-6.048047e-05;4.874531e-04;-2.516922e-04;-5.547331e-05;-3.680055e-01;-3.679736e-01;-4.319616e+04;1.541666e+00;2.214876e+04;6.725926e-05;5.370370e-05;5.182037e-04;4.567037e-04;1.983445e-05;5.365361e-05;1.068234e+01;nan;1.549110e+00;3.907158e-06;3.320116e-06;3.104742e-06;3.034858e-06;
